biosample	classification	organ_slims	n_dnase_files	n_bio_reps	n_experiments	best_accession	best_file_size	best_experiment	best_date	encode_phase	pipeline_version	has_h3k27ac	has_rna_seq
8988T	cell line	pancreas	3	1	1	ENCFF590FGE	7196890561	ENCSR000EID	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
A172	cell line	brain	4	2	1	ENCFF945VVV	24146000835	ENCSR932KWJ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
A549	cell line	lung	58	5	14	ENCFF995HBI	8256206864	ENCSR000EIE	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	True
A673	cell line	musculature of body	5	2	2	ENCFF565WZW	6641974850	ENCSR114QAK	2022-08-05	ENCODE4	dnase-alignment-step-v-1-0	True	True
ACHN	cell line	kidney	5	2	1	ENCFF347OEU	23813930138	ENCSR257BGZ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
AG04449	cell line	connective tissue,skin of body	4	2	1	ENCFF218KYK	2456272199	ENCSR000ELX	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
AG04450	cell line	connective tissue,lung	4	2	1	ENCFF477CQU	2710026979	ENCSR000ELY	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	True	True
AG08395	cell line	connective tissue,skin of body	4	1	1	ENCFF296IFK	18268346342	ENCSR000EIV	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
AG08396	cell line	connective tissue,lung	4	1	1	ENCFF506CPQ	14380133495	ENCSR000EIW	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
AG09309	cell line	connective tissue,skin of body	4	2	1	ENCFF112HRI	2959311814	ENCSR000ELZ	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
AG09319	cell line	connective tissue,mouth	4	2	1	ENCFF605ZWW	2284252696	ENCSR000EMA	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
AG10803	cell line	connective tissue,skin of body	4	2	1	ENCFF056XGB	20283934851	ENCSR000EMB	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	False
AG20443	cell line	connective tissue,skin of body	4	1	1	ENCFF529VPM	22212414531	ENCSR000EIX	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
Ammon's horn	tissue	brain	2	1	1	ENCFF772JJM	27443039471	ENCSR584LUZ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
B cell	primary cell	bodily fluid,blood	15	2	6	ENCFF047WQS	13906338320	ENCSR000EII	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	True	True
BE2C	cell line	brain	6	2	2	ENCFF863PDL	3412853341	ENCSR000EMD	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
BJ	cell line	penis,connective tissue,skin of body	4	2	1	ENCFF844POF	2240751228	ENCSR000EME	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
C803	cell line	nose,epithelium	4	1	1	ENCFF442TUD	21289595983	ENCSR000ELI	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
CD14-positive monocyte	primary cell	bodily fluid,blood	16	2	8	ENCFF175LRM	8412876029	ENCSR000ELE	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	True
CD1c-positive myeloid dendritic cell	primary cell	blood,bodily fluid	4	2	1	ENCFF826QGE	10919143359	ENCSR373BIX	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	bodily fluid,blood	9	1	6	ENCFF212NUC	10503258855	ENCSR234FTX	2022-05-23	ENCODE4	dnase-alignment-step-v-1-0	False	True
CD4-positive, alpha-beta T cell	primary cell	blood,bodily fluid	56	2	49	ENCFF954CKW	43274190548	ENCSR167JFX	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
CD4-positive, alpha-beta memory T cell	primary cell	bodily fluid,blood	5	1	5	ENCFF105DXR	9131872855	ENCSR526TFD	2022-02-15	ENCODE4	dnase-alignment-step-v-1-0	False	True
CD8-positive, alpha-beta T cell	primary cell	blood,bodily fluid	29	1	22	ENCFF376DAI	2371941972	ENCSR840TVG	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
CD8-positive, alpha-beta memory T cell	primary cell	bodily fluid,blood	5	1	5	ENCFF375DIH	12367486154	ENCSR295UXT	2022-02-15	ENCODE4	dnase-alignment-step-v-1-0	False	True
CMK	cell line	bodily fluid,bone element,blood,bone marrow	2	1	1	ENCFF721UJT	2442112424	ENCSR000EMN	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
COLO829	cell line	connective tissue,skin of body	3	1	1	ENCFF746AXH	8591903861	ENCSR000EIN	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
CWRU1	cell line	connective tissue	3	1	1	ENCFF085KLV	11510490948	ENCSR000EKI	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
Caco-2	cell line	colon,large intestine,intestine	8	2	3	ENCFF610ZBH	7296827265	ENCSR255STJ	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	False	True
Caki2	cell line	kidney,epithelium	6	2	1	ENCFF286HCJ	3918264201	ENCSR515EWI	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
Calu3	cell line		2	2	1	ENCFF547MWL	6450151416	ENCSR366NBE	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	False	True
D341Med	cell line	brain	3	1	1	ENCFF550SER	18961965040	ENCSR000ELB	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
D721Med	cell line	brain	3	1	1	ENCFF271DNF	5623739006	ENCSR000ELA	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
DND-41	cell line	blood,bodily fluid	2	2	1	ENCFF633MBP	17750075990	ENCSR903SKE	2020-09-22	ENCODE4	dnase-alignment-step-v-1-0	True	False
Daoy	cell line	brain	6	2	1	ENCFF401DQF	3496599360	ENCSR346IHH	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	True
EH	cell line	connective tissue,penis	6	2	1	ENCFF233TZU	3909168290	ENCSR548MMD	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
EL	cell line	connective tissue,penis	5	2	1	ENCFF485JAR	3902185449	ENCSR691MQJ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
ELF-1	cell line	embryo	5	2	1	ENCFF805ZGK	23042227119	ENCSR678ILN	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
ELR	cell line	connective tissue,penis	4	2	1	ENCFF364GGY	3049068691	ENCSR240TPI	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
G401	cell line	kidney	5	2	1	ENCFF381UWT	21610229480	ENCSR269SIA	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
GM03348	cell line	connective tissue,skin of body	9	1	3	ENCFF969RTD	19732137023	ENCSR000EIT	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM04503	cell line	skin of body,connective tissue	4	2	1	ENCFF992AZC	1996685311	ENCSR000EMO	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM04504	cell line	connective tissue,skin of body	4	2	1	ENCFF823CSM	2598934885	ENCSR000EMP	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM06990	cell line	bodily fluid,blood	4	2	1	ENCFF825OQI	3595516164	ENCSR000EMQ	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM10248	cell line	bodily fluid,blood	3	1	1	ENCFF662QWY	20361492896	ENCSR000EJB	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM10266	cell line	bodily fluid,blood	3	1	1	ENCFF946JDS	20018941673	ENCSR000EJC	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM12864	cell line	blood,bodily fluid	2	1	1	ENCFF123NPP	7431722529	ENCSR000EMR	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM12865	cell line	bodily fluid,blood	4	2	1	ENCFF501BQO	2694575634	ENCSR000EMS	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM12878	cell line	blood,bodily fluid	4	2	1	ENCFF940NSD	7454165894	ENCSR000EMT	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	True	True
GM12891	cell line	bodily fluid,blood	3	1	1	ENCFF755VVY	3910789512	ENCSR000EJE	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	True
GM12892	cell line	bodily fluid,blood	3	1	1	ENCFF674CWG	4297623736	ENCSR000EJF	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	True
GM13976	cell line	bodily fluid,blood	3	1	1	ENCFF067HUR	19740372424	ENCSR000EJG	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM13977	cell line	bodily fluid,blood	3	1	1	ENCFF885UZH	20796117712	ENCSR000EJH	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM18507	cell line	lymphoid tissue	4	1	1	ENCFF526HRB	2504221974	ENCSR000EJI	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM19238	cell line	bodily fluid,blood	3	1	1	ENCFF141NCQ	4227804963	ENCSR000EJJ	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM19239	cell line	bodily fluid,blood	3	1	1	ENCFF314DTG	4322135205	ENCSR000EJK	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM19240	cell line	bodily fluid,blood	3	1	1	ENCFF437NVY	4012001142	ENCSR000EJL	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM20000	cell line	bodily fluid,blood	3	1	1	ENCFF587WEN	20025630088	ENCSR000EJM	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
GM23248	cell line	connective tissue,skin of body,limb	4	2	1	ENCFF868LKT	9187904218	ENCSR217TAW	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
GM23338	cell line	skin of body	5	2	2	ENCFF224SDJ	27215261784	ENCSR004SUL	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
H1	cell line	embryo	7	2	3	ENCFF966UXQ	17312399278	ENCSR951BNY	2021-11-05	ENCODE4	dnase-alignment-step-v-1-0	True	True
H4	cell line	epithelium,brain	4	2	1	ENCFF967OAF	34201835596	ENCSR809CEA	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
H54	cell line	brain	3	1	1	ENCFF887RRT	5623352695	ENCSR000EJA	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
H7	cell line	embryo	8	2	2	ENCFF930YYX	25833844238	ENCSR000EJO	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	True
H9	cell line	embryo	24	2	7	ENCFF501ROB	8718961472	ENCSR662RIZ	2021-02-25	ENCODE4	dnase-alignment-step-v-1-0	True	True
HAP-1	cell line	bone marrow,bone element	6	2	2	ENCFF156ODF	17139188112	ENCSR620QNS	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	False
HCEC 1CT	cell line	colon,large intestine,intestine	4	2	1	ENCFF886ITZ	20243252993	ENCSR038XTK	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
HCT116	cell line	epithelium,colon,large intestine,intestine	30	2	16	ENCFF148CGT	8281924337	ENCSR542UWN	2023-01-05	ENCODE4	dnase-alignment-step-v-1-0	True	True
